"  It's quite useful to save the medium binary data like images  documents into Apache HBase. Unfortunately directly saving the binary MOB(medium object) to HBase leads to a worse performance since the frequent split and compaction.   In this design  the MOB data are stored in an more efficient way  which keeps a high write/read performance and guarantees the data consistency in Apache HBase. HBase MOB",0
Migrate from our own audience annotation handling to apache yetus' implementation.  [discussion thread on dev@hbase|https://lists.apache.org/thread.html/5a83d37c9c763b3fc4114231489a073167ac69dbade9774af5ca4fb4@%3Cdev.hbase.apache.org%3E] Migrate to Apache Yetus Audience Annotations,0
" Document MOB in Ref Guide",0
"By default  using """"mvn failsafe:integration-test"""" to execute the integration test with MOB will run more than 10 minutes. In this JIRA  we'll shorten this run time by default. Shorten the run time of integration test by default when using mvn failsafe:integration-test",0
"when zookeeper is down during a major compaction or a sweep tool run in progress  we switch to a minor. {code} try {   zk = MobZookeeper.newInstance(this.conf  compactionName); } catch (KeeperException e) {   LOG.error(""""Cannot connect to the zookeeper  ready to perform the minor compaction instead""""  e);   // change the major compaction into a minor one   compaction.getRequest().setIsMajor(false);   return super.compact(compaction); } {code}  but the """"request start"""" (HRegion.reportCompactionRequestStart) is """"major"""" and increments the major-compactions counter while the """"request end"""" (HRegion.reportCompactionRequestEnd) is """"minor"""" and decrements the minor-compactions counter triggering the assert newValue >= 0  since we are decrementing the wrong counter Wrong compaction report and assert when MOB compaction switches to minor",0
Currently  mob cf configuration stuff shows up as ugly byte strings instead of meaningful numeric values.  {code} IntegrationTestIngestWithMOB	20	'IntegrationTestIngestWithMOB'  {NAME => 'test_cf'  METADATA => {'mobThreshold' => '\x00\x00\x00\x00\x00\x01\x90\x00'  'isMob' => '\xFF'}} {code} mob status should print human readable numbers.,0
hostname:HBASE_HOME/bin # sh hbase-daemon.sh restart master *hbase-daemon.sh: line 188: hbase-daemon.sh: command not found* *hbase-daemon.sh: line 196: hbase-daemon.sh: command not found* hbase-daemon.sh fails to execute with 'sh' command,0
The script graceful_stop.sh should use hbase-daemon.sh instead of hbase-daemons.sh when it's executed on the local decomissioned node.  hbase-daemons.sh use ssh to perform the stop/start action  which mean the  local server public key need to be added in the known_hosts.  hbase-daemon.sh is more appropriate to stop/start on a local host as it don't need ssh to perform the stop/start action. graceful_stop.sh should use hbase-daemon.sh when executed on the decomissioned node,0
" When running the sweep tool  we encountered such an exception. org.apache.hadoop.ipc.RemoteException(org.apache.hadoop.hdfs.server.namenode.LeaseExpiredException): No lease on /hbase/mobdir/.tmp/mobcompaction/SweepJob-SweepMapper-SweepReducer-testSweepToolExpiredNoMinVersion-data/working/names/all (inode 46500): File does not exist. Holder DFSClient_NONMAPREDUCE_-1863270027_1 does not have any open files. at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.checkLease(FSNamesystem.java:3319)   at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.completeFileInternal(FSNamesystem.java:3407)   at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.completeFile(FSNamesystem.java:3377)   at org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer.complete(NameNodeRpcServer.java:673)   at org.apache.hadoop.hdfs.server.namenode.AuthorizationProviderProxyClientProtocol.complete(AuthorizationProviderProxyClientProtocol.java:219)   at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolServerSideTranslatorPB.complete(ClientNamenodeProtocolServerSideTranslatorPB.java:520)   at org.apache.hadoop.hdfs.protocol.proto.ClientNamenodeProtocolProtos$ClientNamenodeProtocol$2.callBlockingMethod(ClientNamenodeProtocolProtos.java)   at org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker.call(ProtobufRpcEngine.java:587)   at org.apache.hadoop.ipc.RPC$Server.call(RPC.java:1026)   at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2013)   at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2009)   at java.security.AccessController.doPrivileged(Native Method)   at javax.security.auth.Subject.doAs(Subject.java:415)   at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1614)   at org.apache.hadoop.ipc.Server$Handler.run(Server.java:2007)   at org.apache.hadoop.ipc.Client.call(Client.java:1411)   at org.apache.hadoop.ipc.Client.call(Client.java:1364)   at org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker.invoke(ProtobufRpcEngine.java:206)   at com.sun.proxy.$Proxy15.complete(Unknown Source)   at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolTranslatorPB.complete(ClientNamenodeProtocolTranslatorPB.java:435)   at sun.reflect.GeneratedMethodAccessor5.invoke(Unknown Source)   at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)    at java.lang.reflect.Method.invoke(Method.java:606)    at org.apache.hadoop.io.retry.RetryInvocationHandler.invokeMethod(RetryInvocationHandler.java:187)    at org.apache.hadoop.io.retry.RetryInvocationHandler.invoke(RetryInvocationHandler.java:102)    at com.sun.proxy.$Proxy16.complete(Unknown Source)    at org.apache.hadoop.hdfs.DFSOutputStream.completeFile(DFSOutputStream.java:2180)    at org.apache.hadoop.hdfs.DFSOutputStream.close(DFSOutputStream.java:2164)    at org.apache.hadoop.hdfs.DFSClient.closeAllFilesBeingWritten(DFSClient.java:908)   at org.apache.hadoop.hdfs.DFSClient.close(DFSClient.java:925)   at org.apache.hadoop.hdfs.DistributedFileSystem.close(DistributedFileSystem.java:861)   at org.apache.hadoop.fs.FileSystem$Cache.closeAll(FileSystem.java:2687)   at org.apache.hadoop.fs.FileSystem$Cache$ClientFinalizer.run(FileSystem.java:2704)   at org.apache.hadoop.util.ShutdownHookManager$1.run(ShutdownHookManager.java:54)  This is because we have several writers opened by fs.create(path  true) are not closed properly. Meanwhile  in the current implementation  we save the temp files under sweepJobDir/working/...  and when we remove the directory of the sweep job only the working is deleted. We should remove the whole sweepJobDir instead. Close the writers in the MOB sweep tool",0
This test takes about 30 ~ 40 seconds depending upon the resources available. Doesn't make sense to have such a tight bound(30s) on the unit test. [~nkeywal]  what do you think ? Did you intend to have such a tight bound  while adding the test here ? Fixing TestReplicaWithCluster,0
